id1,id2,ddi_risk
DB00199,DB00218,Significant
DB00199,DB00220,"Potentially significant"
DB00199,DB00220,Significant
DB00199,DB00224,"Potentially significant"
DB00199,DB00224,Significant
DB00199,DB00227,Critical
DB00199,DB00227,"Potentially significant"
DB00199,DB00243,Critical
DB00199,DB00243,"Potentially significant"
DB00199,DB00246,"Avoid combination"
DB00199,DB00246,Significant
DB00199,DB00252,Significant
DB00199,DB00261,"Avoid combination"
DB00199,DB00270,Significant
DB00199,DB00277,Critical
DB00199,DB00280,"Avoid combination"
DB00199,DB00280,Critical
DB00199,DB00281,Significant
DB00199,DB00285,Significant
DB00199,DB00295,"Potentially significant"
DB00199,DB00305,"Potentially significant"
DB00199,DB00308,"Avoid combination"
DB00199,DB00313,Significant
DB00199,DB00315,Significant
DB00199,DB00333,Significant
DB00199,DB00341,"Potentially significant"
DB00199,DB00342,"Avoid combination"
DB00199,DB00342,Critical
DB00199,DB00343,"Potentially significant"
DB00199,DB00349,"Potentially significant"
DB00199,DB00390,"Potentially significant"
DB00199,DB00391,"Avoid combination"
DB00199,DB00402,Significant
DB00199,DB00440,Significant
DB00199,DB00444,"Potentially significant"
DB00199,DB00450,Critical
DB00199,DB00455,"Potentially significant"
DB00199,DB00468,"Avoid combination"
DB00199,DB00468,"Potentially significant"
DB00199,DB00472,"Avoid combination"
DB00199,DB00480,"Potentially significant"
DB00199,DB00489,"Avoid combination"
DB00199,DB00489,Significant
DB00199,DB00501,"Potentially significant"
DB00199,DB00503,"Potentially significant"
DB00199,DB00503,Significant
DB00199,DB00537,"Potentially significant"
DB00199,DB00539,"Avoid combination"
DB00199,DB00541,"Potentially significant"
DB00199,DB00563,"Potentially significant"
DB00199,DB00570,Critical
DB00199,DB00570,"Potentially significant"
DB00199,DB00602,"Potentially significant"
DB00199,DB00604,"Avoid combination"
DB00199,DB00619,"Potentially significant"
DB00199,DB00622,"Potentially significant"
DB00199,DB00622,Significant
DB00199,DB00637,"Avoid combination"
DB00199,DB00641,Critical
DB00199,DB00661,Critical
DB00199,DB00661,"Potentially significant"
DB00199,DB00679,"Avoid combination"
DB00199,DB00679,Significant
DB00199,DB00680,Significant
DB00199,DB00682,Critical
DB00199,DB00683,Significant
DB00199,DB00694,"Potentially significant"
DB00199,DB00701,"Potentially significant"
DB00199,DB00701,Significant
DB00199,DB00734,"Potentially significant"
DB00199,DB00741,"Potentially significant"
DB00199,DB00762,"Potentially significant"
DB00199,DB00773,"Potentially significant"
DB00199,DB00783,"Potentially significant"
DB00199,DB00813,Critical
DB00199,DB00834,"Avoid combination"
DB00199,DB00863,"Potentially significant"
DB00199,DB00864,Critical
DB00199,DB00864,"Potentially significant"
DB00199,DB00875,"Avoid combination"
DB00199,DB00877,"Potentially significant"
DB00199,DB00897,Significant
DB00199,DB00904,"Potentially significant"
DB00199,DB00908,"Avoid combination"
DB00199,DB00908,"Potentially significant"
DB00199,DB00908,Significant
DB00199,DB00912,Significant
DB00199,DB00933,Significant
DB00199,DB00946,Significant
DB00199,DB00950,"Potentially significant"
DB00199,DB00967,"Potentially significant"
DB00199,DB00997,"Potentially significant"
DB00199,DB01023,Significant
DB00199,DB01035,"Avoid combination"
DB00199,DB01035,Significant
DB00199,DB01044,Significant
DB00199,DB01045,"Potentially significant"
DB00199,DB01076,"Potentially significant"
DB00199,DB01100,"Avoid combination"
DB00199,DB01100,Critical
DB00199,DB01118,"Avoid combination"
DB00199,DB01118,"Potentially significant"
DB00199,DB01136,"Potentially significant"
DB00199,DB01155,Significant
DB00199,DB01157,Significant
DB00199,DB01167,Significant
DB00199,DB01169,"Avoid combination"
DB00199,DB01175,"Avoid combination"
DB00199,DB01177,"Potentially significant"
DB00199,DB01203,"Potentially significant"
DB00199,DB01208,"Avoid combination"
DB00199,DB01208,Critical
DB00199,DB01218,"Avoid combination"
DB00199,DB01218,Critical
DB00199,DB01220,"Potentially significant"
DB00199,DB01223,Critical
DB00199,DB01224,"Avoid combination"
DB00199,DB01224,Significant
DB00199,DB01227,"Avoid combination"
DB00199,DB01227,Critical
DB00199,DB01229,"Potentially significant"
DB00199,DB01232,"Potentially significant"
DB00199,DB01232,Significant
DB00199,DB01234,"Potentially significant"
DB00199,DB01244,"Avoid combination"
DB00199,DB01248,"Potentially significant"
DB00199,DB01259,"Potentially significant"
DB00199,DB01261,"Potentially significant"
DB00199,DB01267,"Avoid combination"
DB00199,DB01267,"Potentially significant"
DB00199,DB01267,Significant
DB00199,DB01319,"Potentially significant"
DB00199,DB01319,Significant
DB00199,DB01394,"Potentially significant"
DB00199,DB01590,"Potentially significant"
DB00199,DB01601,"Avoid combination"
DB00199,DB01601,Significant
DB00199,DB01624,"Avoid combination"
DB00199,DB04835,"Potentially significant"
DB00199,DB04844,"Avoid combination"
DB00199,DB04844,Significant
DB00199,DB04855,"Avoid combination"
DB00199,DB04865,"Potentially significant"
DB00199,DB04868,"Avoid combination"
DB00199,DB04868,"Potentially significant"
DB00199,DB04868,Significant
DB00199,DB04946,"Avoid combination"
DB00199,DB05039,"Potentially significant"
DB00199,DB05109,"Potentially significant"
DB00199,DB05294,"Avoid combination"
DB00199,DB05521,"Potentially significant"
DB00199,DB05676,"Potentially significant"
DB00199,DB06176,"Potentially significant"
DB00199,DB06207,"Potentially significant"
DB00199,DB06212,"Potentially significant"
DB00199,DB06216,"Avoid combination"
DB00199,DB06228,"Potentially significant"
DB00199,DB06287,"Potentially significant"
DB00199,DB06290,"Potentially significant"
DB00199,DB06292,"Potentially significant"
DB00199,DB06335,"Potentially significant"
DB00199,DB06403,"Potentially significant"
DB00199,DB06480,"Potentially significant"
DB00199,DB06589,"Potentially significant"
DB00199,DB06605,"Potentially significant"
DB00199,DB06616,"Potentially significant"
DB00199,DB06695,"Potentially significant"
DB00199,DB06697,"Avoid combination"
DB00199,DB06708,"Avoid combination"
DB00199,DB06769,"Potentially significant"
DB00199,DB08828,"Potentially significant"
DB00199,DB08865,"Potentially significant"
DB00199,DB08873,"Potentially significant"
DB00199,DB08881,"Avoid combination"
DB00199,DB08881,"Potentially significant"
DB00199,DB08882,"Potentially significant"
DB00199,DB08889,"Potentially significant"
DB00199,DB08893,"Potentially significant"
DB00199,DB08901,"Potentially significant"
